Name,Type,Address,Latitude,Longitude,Rating,Review_Count,Price
Kualoa Ranch,Tours,"49-560 Kamehameha Hwy, Kaneohe, HI 96744",21.51884732893545,-157.85340004811957,4.6,5175,N/A
Diamond Head State Monument,Parks,"Diamond Head Rd, Honolulu, HI 96816",21.26294466638638,-157.803324075843,4.5,2152,N/A
Kapiolani Park,Parks,"3840 Paki Ave, Honolulu, HI 96815",21.2700511277748,-157.819491426289,4.5,186,N/A
Atlantis Submarines Waikiki,Kids Activities,"252 Paoa Pl, Honolulu, HI 96815",21.280492754924296,-157.83808140423142,3.8,333,N/A
Magic Island,Parks,"1201 Ala Moana Blvd, Honolulu, HI 96814",21.28517732312234,-157.8463187109791,4.6,150,N/A
Honolulu Zoo,Zoos,"151 Kapahulu Ave, Honolulu, HI 96815",21.271090224870147,-157.82148185275912,3.7,935,N/A
Iolani Palace,Museums,"364 S King St, Honolulu, HI 96813",21.3067,-157.85876,4.5,736,N/A
Hawaii Glass Bottom Boats,Boat Charters,"1009 Ala Moana Blvd F21, Honolulu, HI 96814",21.2941818261187,-157.856524252788,4.7,574,N/A
Diamond Head Lookout,Parks,"Diamond Head Rd, Honolulu, HI 96816",21.25648890356685,-157.8039158032811,4.5,196,N/A
Waikiki Aquarium,Aquariums,"2777 Kalakaua Ave, Honolulu, HI 96815",21.26558,-157.82179,3.6,657,N/A
Foster Botanical Garden,Botanical Gardens,"180 N Vineyard Blvd, Honolulu, HI 96817",21.316825626100357,-157.8590314,4.5,250,N/A
Twilight Tours,Walking Tours,"151 Kapahulu Ave, The Honolulu Zoo, Honolulu, HI 96815",21.2717237,-157.8188119,4.9,85,N/A
Kaka'ako Waterfront Park,Parks,"102 Ohe St, Honolulu, HI 96813",21.29398,-157.86301,4.0,106,N/A
North Shore Shark Adventures,Snorkeling,"66-105 Haleiwa Rd, Haleiwa Small Boat Harbor, Haleiwa, HI 96712",21.592757551089345,-158.10496393512483,4.7,956,N/A
Kaimana Beach,Beaches,"2863 Kalakaua Ave, Honolulu, HI 96815",21.26327440802909,-157.82116074149408,4.3,190,N/A
Shangri La Museum of Islamic Art Culture & Design,Museums,"4055 Papu Cir, Honolulu, HI 96816",21.2569227,-157.7950458,4.5,129,N/A
Duke Paoa Kahanamoku Lagoon,Beaches,"Hilton Lagoon, Honolulu, HI 96815",21.2825642,-157.8391603,4.1,47,N/A
Rock-a-Hula,Performing Arts,"2201 Kalakaua Ave, Bldg B Fl 4, Royal Hawaiian Theater, Honolulu, HI 96815",21.2786153871274,-157.829019791996,4.3,216,$$$
Mysteries of Hawaii,Historical Tours,"Honolulu, HI 96816",21.28647,-157.79781,4.8,46,N/A
Dolphin Excursions Hawaii,Snorkeling,"85-491 Farrington Hwy, Waianae Boat Harbor, Waianae, HI 96792",21.4516,-158.195864,4.9,683,N/A
US Army Museum of Hawaii,Museums,"2131 Kalia Rd, Honolulu, HI 96815",21.2794173205062,-157.832808494568,4.6,120,N/A
Waikiki Beach,Beaches,"Honolulu, HI 96815",21.276217,-157.827098,3.9,797,N/A
Pearl Harbor Aviation Museum,Museums,"319 Lexington Blvd, Honolulu, HI 96818",21.3603493,-157.9609895,4.2,293,N/A
The Arts at Mark's Garage,Art Galleries,"1159 Nuuanu Ave, Honolulu, HI 96817",21.31139,-157.86081,4.4,38,$
Ka'au Crater,Hiking,"3000 10th Ave, Honolulu, HI 96816",21.310546,-157.7819956,4.5,192,N/A
Waikiki Beach Walls,Beaches,"2605 Kalakaua Ave, Honolulu, HI 96815",21.271129096103,-157.823745706643,4.6,20,N/A
Waikiki Beach Services,Boating,"2259 Kalakaua Ave, Honolulu, HI 96815",21.276765,-157.828284,4.4,66,N/A
Hawaii Children's Discovery Center,Venues & Event Spaces,"111 Ohe St, Honolulu, HI 96813",21.29361,-157.86204,4.3,314,N/A
Kailua Beach Adventures,Bike Rentals,"130 Kailua Rd, Ste 101B, Kailua, HI 96734",21.39676,-157.73105,4.8,1578,N/A
Hawaiian Style Rentals,Scooter Rentals,"138 Uluniu Ave, Honolulu, HI 96815",21.27615,-157.82418,4.8,47,N/A
Honolulu Museum Of Art,Art Museums,"900 S Beretania St, Honolulu, HI 96814",21.303805457999193,-157.8487020079198,4.5,336,N/A
Spinway Hawaii,Bike Rentals,"Outrigger Reef- Embassy Suites- Ala Moana Hotels, Honolulu, HI 96815",21.279234,-157.83162,3.7,3,N/A
Hele On Waikiki,Beach Equipment Rentals,"2552 Kalakaua Ave, Honolulu, HI 96815",21.27322421927897,-157.8223747,5.0,7,N/A
Honolulu City Lights,Festivals,"530 S King St, Honolulu, HI 96813",21.305228,-157.857068,4.4,151,N/A
Ko Olina Ocean Adventures,Snorkeling,"92-100 Waipahe Pl, Kapolei, HI 96707",21.3335930356877,-158.11918258667,4.8,675,N/A
MANA Cruises & Charters,Boat Tours,"92-100 Waipahe Pl, Kapolei, HI 96707",21.328079,-158.11942,5.0,86,N/A
GoGo Rental,Motorcycle Rental,"1980 Kalākaua Ave, Honolulu, HI 96815",21.285253,-157.832451,4.5,314,N/A
Na Hoku 3 Catamaran,Boating,"2335 Kalakaua Ave, Honolulu, HI 96815",21.27638270102745,-157.82752116848067,4.2,300,N/A
Aloha Beach Services,Beaches,"2365 Kalakaua Ave, Honolulu, HI 96815",21.2765883584409,-157.827578654713,4.5,65,N/A
Oahu Circle Island Snorkel Tour,Snorkeling,"Waikiki, HI 96815",21.28025,-157.83019,4.6,68,N/A
Maita'i Catamaran,Boating,"2255 Kalakaua Ave, Honolulu, HI 96815",21.2770179341013,-157.831274271011,4.5,634,N/A
Waikīkī,Hotels,"Rainbow Dr, Honolulu, HI 96815",21.2827226611262,-157.837481237948,3.5,15,$$$
Kuhio Beach Park,Parks,"2453 Kalakaua Ave, Honolulu, HI 96815",21.2746110775967,-157.824768323882,4.1,84,N/A
Ala Moana Regional Park,Parks,"1201 Ala Moana Blvd, Honolulu, HI 96814",21.2913543859437,-157.850719619001,4.2,416,N/A
Aloha Hiking & Tours,Hiking,"445 Seaside Ave, Ste 1212, Honolulu, HI 96815",21.28107,-157.82578,5.0,3,N/A
Pan-Pacific Festival,Festivals,"2270 Kalakaua Ave, Ste 1400, Honolulu, HI 96815",21.27875,-157.82834,4.3,12,N/A
Hawaiian Style Rentals & Sales,Motorcycle Dealers,"2556 Lemon Rd, Honolulu, HI 96815",21.2727,-157.82186,4.8,757,N/A
Captain Bruce,Boat Charters,"46-499 Kamehameha Hwy, He'eia Kea Boat Harbor, Kaneohe, HI 96744",21.4443283,-157.8098033,4.9,75,N/A
E Sea Diver,Snorkeling,"1025 Ala Moana Blvd, F-18, Honolulu, HI 96814",21.29368,-157.85547,4.1,125,N/A
Oahu Catamarans,Boat Charters,"1025 Ala Moana Blvd, Pier A Slip 0, Honolulu, HI 96814",21.2942105,-157.8570873,4.8,192,N/A
